model,count,penalty,errorRate,manufacturer,price,capacity,rpm
HGST HUH721212ALE600,946796,3.776157221817345,3.988353586007276e-06,HGST,726000.0,12.0,7200.0
ST10000NM001G,7381,0.9999940968245362,0.0001354821971039,Seagate,459000.0,10.0,7200.0
ST10000NM0086,430066,25.632790287188957,5.960199199004096e-05,Seagate,392000.0,10.0,7200.0
ST12000NM0007,469206,42.21332341188156,8.996756949374382e-05,Seagate,459000.0,12.0,7200.0
ST12000NM0008,7291283,291.7017778965086,4.000692030421924e-05,Seagate,459000.0,12.0,7200.0
ST12000NM001G,4514680,87.28829701065378,1.9334326466250936e-05,Seagate,529000.0,12.0,7200.0
ST12000NM0117,3339,0.8246372068323795,0.0002469713108213,Seagate,334876.0,12.0,7200.0
ST14000NM0018,13008,1.6045214716605078,0.0001233488216221,Seagate,261140.0,14.0,7200.0
ST14000NM001G,3912286,92.51765163931094,2.3647977586329564e-05,Seagate,625000.0,14.0,7200.0
ST14000NM0138,570022,67.37344825333925,0.0001181944701315,Seagate,295757.0,14.0,7200.0
ST16000NM001G,6052663,112.6830371381483,1.8617100793179512e-05,Seagate,699000.0,16.0,7200.0
ST16000NM002J,50614,0.9864041008157812,1.948876004298773e-05,Seagate,300000.0,16.0,7200.0
ST16000NM005G,9464,0.0,0.0,Seagate,421677.0,16.0,7200.0
ST18000NM000J,21840,0.8062149657023566,3.691460465670131e-05,Seagate,758990.0,18.0,7200.0
ST4000DM000,6698929,353.90999763353534,5.283083275453962e-05,Seagate,225000.0,4.0,5900.0
ST4000DM004,5986,0.0,0.0,Seagate,120490.0,4.0,5400.0
ST4000DM005,13314,2.1986679773494844,0.0001651395506496,Seagate,248000.0,4.0,5900.0
ST500LM021,11935,1.122783988387753,9.407490476646443e-05,Seagate,100406.0,0.5,7200.0
ST500LM030,83758,9.195831131206935,0.0001097904812818,Seagate,70990.0,0.5,5400.0
ST6000DM001,1460,0.0,0.0,Seagate,400000.0,6.0,7200.0
ST6000DM004,365,0.0,0.0,Seagate,378000.0,6.0,7200.0
ST6000DX000,323387,3.0044497340336744,9.290570536334716e-06,Seagate,193087.0,6.0,7200.0
ST8000DM002,3505437,103.78454418557556,2.9606734962167505e-05,Seagate,368229.0,8.0,7200.0
ST8000DM005,9107,0.0,0.0,Seagate,739000.0,8.0,7200.0
ST8000NM000A,22837,0.0,0.0,Seagate,379000.0,8.0,7200.0
ST8000NM0055,5229273,217.2625637156841,4.154737450419669e-05,Seagate,360000.0,8.0,7200.0
TOSHIBA MG07ACA14TEY,184241,5.323093238474391,2.889201230168308e-05,Toshiba,534544.0,14.0,7200.0
TOSHIBA MG08ACA16TEY,1361471,19.670688626405525,1.444811430166748e-05,Toshiba,456280.0,16.0,7200.0
WDC WD5000BPKT,3277,0.0,0.0,Western Digital,65356.0,0.5,7200.0
WDC WUH721816ALE6L0,916099,2.5497747711296284,2.7832960969607305e-06,Western Digital,589000.0,16.0,7200.0
