,model,serial_number_count,penalty_sum,error_rate
0,HGST HUH721212ALE600,946796,3.776157221817345,3.988353586007276e-06
1,ST10000NM001G,7381,0.9999940968245362,0.0001354821971039881
2,ST10000NM0086,430066,25.632790287188953,5.9601991990040954e-05
3,ST12000NM0007,469206,42.21332341188156,8.996756949374382e-05
4,ST12000NM0008,7291283,291.7017778965086,4.000692030421924e-05
5,ST12000NM001G,4514680,87.28829701065378,1.9334326466250936e-05
6,ST12000NM0117,3339,0.8246372068323795,0.0002469713108213176
7,ST14000NM0018,13008,1.6045214716605078,0.00012334882162211777
8,ST14000NM001G,3912286,92.51765163931094,2.3647977586329564e-05
9,ST14000NM0138,570022,67.37344825333925,0.00011819447013157255
10,ST16000NM001G,6052663,112.6830371381483,1.8617100793179512e-05
11,ST16000NM002J,50614,0.9864041008157811,1.9488760042987735e-05
12,ST16000NM005G,9464,0.0,0.0
13,ST18000NM000J,21840,0.8062149657023566,3.691460465670131e-05
14,ST4000DM000,6698929,353.90999763353534,5.283083275453962e-05
15,ST4000DM004,5986,0.0,0.0
16,ST4000DM005,13314,2.1986679773494844,0.00016513955064965334
17,ST500LM021,11935,1.122783988387753,9.407490476646443e-05
18,ST500LM030,83758,9.195831131206935,0.0001097904812818708
19,ST6000DM001,1460,0.0,0.0
20,ST6000DM004,365,0.0,0.0
21,ST6000DX000,323387,3.0044497340336744,9.290570536334715e-06
22,ST8000DM002,3505437,103.78454418557557,2.9606734962167505e-05
23,ST8000DM005,9107,0.0,0.0
24,ST8000NM000A,22837,0.0,0.0
25,ST8000NM0055,5229273,217.26256371568414,4.154737450419669e-05
26,Seagate BarraCuda 120 SSD ZA250CM10003,400786,7.603653702036559,1.897185456087927e-05
27,Seagate BarraCuda 120 SSD ZA500CM10003,591,0.0,0.0
28,Seagate BarraCuda SSD ZA2000CM10002,1093,0.0,0.0
29,Seagate BarraCuda SSD ZA250CM10002,203377,9.873816565185646,4.854932743223494e-05
30,Seagate BarraCuda SSD ZA500CM10002,6557,0.0,0.0
31,Seagate FireCuda 120 SSD ZA500GM10001,320,0.0,0.0
32,Seagate IronWolf ZA250NM10002,4111,0.0,0.0
33,Seagate SSD,38631,0.8913258645521125,2.307281366136296e-05
34,TOSHIBA MG07ACA14TEY,184241,5.323093238474391,2.8892012301683076e-05
35,TOSHIBA MG08ACA16TEY,1361471,19.670688626405525,1.4448114301667479e-05
36,WD Blue SA510 2.5 250GB,104,0.0,0.0
37,WDC  WDS250G2B0A,162,0.0,0.0
38,WDC  WUH721816ALE6L0,21829,0.0,0.0
39,WDC WD5000BPKT,3277,0.0,0.0
40,WDC WDS250G2B0A,18740,0.9896109737220226,5.2807415886980925e-05
41,WDC WUH721816ALE6L0,916099,2.5497747711296284,2.7832960969607305e-06
